Maternal Wall Thickness,Maternal Hb Concentration,Maternal Saturation,Fetal Saturation (Prct),FconcCenters,Fetal Hb Concentration 1,Fetal Hb Concentration 2,SDD(mm),PR
12.0,12.0,1.0,40.0,2.0,11.7,12.0,41,1.001020771979081
12.0,12.0,1.0,60.0,2.0,11.7,12.0,41,1.0009992839255375
10.0,12.0,1.0,20.0,2.0,11.7,12.0,46,1.0067535202259645
10.0,12.0,1.0,40.0,2.0,11.7,12.0,46,1.0067037860642216
10.0,12.0,1.0,60.0,2.0,11.7,12.0,46,1.006664809546257
11.0,12.0,1.0,20.0,2.0,11.7,12.0,46,1.0045080352859141
11.0,12.0,1.0,40.0,2.0,11.7,12.0,46,1.004470216663607
11.0,12.0,1.0,60.0,2.0,11.7,12.0,46,1.0044244093922496
12.0,12.0,1.0,20.0,2.0,11.7,12.0,46,1.0025866228527192
12.0,12.0,1.0,40.0,2.0,11.7,12.0,46,1.0025497340722884
12.0,12.0,1.0,60.0,2.0,11.7,12.0,46,1.0025143587910659
10.0,12.0,1.0,20.0,2.0,11.7,12.0,50,1.0086970154546935
10.0,12.0,1.0,40.0,2.0,11.7,12.0,50,1.0086737649677522
10.0,12.0,1.0,60.0,2.0,11.7,12.0,50,1.008659729180192
11.0,12.0,1.0,20.0,2.0,11.7,12.0,50,1.0067555224729248
11.0,12.0,1.0,40.0,2.0,11.7,12.0,50,1.0067210095556596
11.0,12.0,1.0,60.0,2.0,11.7,12.0,50,1.0066813524933687
12.0,12.0,1.0,20.0,2.0,11.7,12.0,50,1.0048509713228453
12.0,12.0,1.0,40.0,2.0,11.7,12.0,50,1.0048041895574642
12.0,12.0,1.0,60.0,2.0,11.7,12.0,50,1.0047599197763115
10.0,12.0,1.0,20.0,2.0,11.7,12.0,55,1.009611482394969
10.0,12.0,1.0,40.0,2.0,11.7,12.0,55,1.0096283777652422
10.0,12.0,1.0,60.0,2.0,11.7,12.0,55,1.0096498989847447
11.0,12.0,1.0,20.0,2.0,11.7,12.0,55,1.0079659162683035
11.0,12.0,1.0,40.0,2.0,11.7,12.0,55,1.0079462238770418
11.0,12.0,1.0,60.0,2.0,11.7,12.0,55,1.0079228105964886
12.0,12.0,1.0,20.0,2.0,11.7,12.0,55,1.0073626757167222
12.0,12.0,1.0,40.0,2.0,11.7,12.0,55,1.0073268721477016
12.0,12.0,1.0,60.0,2.0,11.7,12.0,55,1.0072945828300548
10.0,12.0,1.0,20.0,2.0,11.7,12.0,59,1.0106496918078582
10.0,12.0,1.0,40.0,2.0,11.7,12.0,59,1.0107274757408837
10.0,12.0,1.0,60.0,2.0,11.7,12.0,59,1.0108055537922829
11.0,12.0,1.0,20.0,2.0,11.7,12.0,59,1.0083139853629608
11.0,12.0,1.0,40.0,2.0,11.7,12.0,59,1.0083427999090364
11.0,12.0,1.0,60.0,2.0,11.7,12.0,59,1.0083674978577264
12.0,12.0,1.0,20.0,2.0,11.7,12.0,59,1.0090104929489794
12.0,12.0,1.0,40.0,2.0,11.7,12.0,59,1.0089908139425863
12.0,12.0,1.0,60.0,2.0,11.7,12.0,59,1.0089761782485376
10.0,12.0,1.0,20.0,2.0,11.7,12.0,64,1.0117517858329155
10.0,12.0,1.0,40.0,2.0,11.7,12.0,64,1.0118824504082264
10.0,12.0,1.0,60.0,2.0,11.7,12.0,64,1.012010414997352
11.0,12.0,1.0,20.0,2.0,11.7,12.0,64,1.008913544390527
11.0,12.0,1.0,40.0,2.0,11.7,12.0,64,1.009008529763719
11.0,12.0,1.0,60.0,2.0,11.7,12.0,64,1.0090975315317217
12.0,12.0,1.0,20.0,2.0,11.7,12.0,64,1.0094900083900826
12.0,12.0,1.0,40.0,2.0,11.7,12.0,64,1.0095204275361982
12.0,12.0,1.0,60.0,2.0,11.7,12.0,64,1.0095575438239193
10.0,12.0,1.0,20.0,2.0,11.7,12.0,68,1.0119413107127353
10.0,12.0,1.0,40.0,2.0,11.7,12.0,68,1.0120830494180781
10.0,12.0,1.0,60.0,2.0,11.7,12.0,68,1.0122206081655034
11.0,12.0,1.0,20.0,2.0,11.7,12.0,68,1.0095296924946173
11.0,12.0,1.0,40.0,2.0,11.7,12.0,68,1.009649492138022
11.0,12.0,1.0,60.0,2.0,11.7,12.0,68,1.0097617562404262
12.0,12.0,1.0,20.0,2.0,11.7,12.0,68,1.0092081049541153
12.0,12.0,1.0,40.0,2.0,11.7,12.0,68,1.0092921784544056
12.0,12.0,1.0,60.0,2.0,11.7,12.0,68,1.0093845559219667
10.0,12.0,1.0,20.0,2.0,11.7,12.0,72,1.0109642028333847
10.0,12.0,1.0,40.0,2.0,11.7,12.0,72,1.011072849035524
10.0,12.0,1.0,60.0,2.0,11.7,12.0,72,1.0111794353025823
11.0,12.0,1.0,20.0,2.0,11.7,12.0,72,1.0095661776857932
11.0,12.0,1.0,40.0,2.0,11.7,12.0,72,1.0096820380306497
11.0,12.0,1.0,60.0,2.0,11.7,12.0,72,1.0097897373601925
12.0,12.0,1.0,20.0,2.0,11.7,12.0,72,1.0089262015181477
12.0,12.0,1.0,40.0,2.0,11.7,12.0,72,1.009063929372613
12.0,12.0,1.0,60.0,2.0,11.7,12.0,72,1.0092115680200144
10.0,12.0,1.0,20.0,2.0,11.7,12.0,77,1.0099870949540342
10.0,12.0,1.0,40.0,2.0,11.7,12.0,77,1.0100626486529702
10.0,12.0,1.0,60.0,2.0,11.7,12.0,77,1.0101382624396609
11.0,12.0,1.0,20.0,2.0,11.7,12.0,77,1.0090439731907803
11.0,12.0,1.0,40.0,2.0,11.7,12.0,77,1.0091503376679007
11.0,12.0,1.0,60.0,2.0,11.7,12.0,77,1.0092490454105703
12.0,12.0,1.0,20.0,2.0,11.7,12.0,77,1.0086442980821804
12.0,12.0,1.0,40.0,2.0,11.7,12.0,77,1.0088356802908203
12.0,12.0,1.0,60.0,2.0,11.7,12.0,77,1.009038580118062
10.0,12.0,1.0,20.0,2.0,11.7,12.0,81,1.0090099870746836
10.0,12.0,1.0,40.0,2.0,11.7,12.0,81,1.0090524482704164
10.0,12.0,1.0,60.0,2.0,11.7,12.0,81,1.0090970895767395
11.0,12.0,1.0,20.0,2.0,11.7,12.0,81,1.0085217686957675
11.0,12.0,1.0,40.0,2.0,11.7,12.0,81,1.0086186373051518
11.0,12.0,1.0,60.0,2.0,11.7,12.0,81,1.0087083534609482
12.0,12.0,1.0,20.0,2.0,11.7,12.0,81,1.0083623946462128
12.0,12.0,1.0,40.0,2.0,11.7,12.0,81,1.0086074312090276
12.0,12.0,1.0,60.0,2.0,11.7,12.0,81,1.0088655922161096
10.0,12.0,1.0,20.0,2.0,11.7,12.0,86,1.008032879195333
10.0,12.0,1.0,40.0,2.0,11.7,12.0,86,1.0080422478878623
10.0,12.0,1.0,60.0,2.0,11.7,12.0,86,1.0080559167138183
11.0,12.0,1.0,20.0,2.0,11.7,12.0,86,1.0079995642007546
11.0,12.0,1.0,40.0,2.0,11.7,12.0,86,1.0080869369424026
